system   D            wsystem.c:583  maybe_parent_dir                 [   0.00102] Also searching D:\compilator\OOP\kursova\smartchess1_copy\
display  D   display_settings.c:191  debug_display_settings           [   0.12167] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.12170] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.12171] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.12173] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.12175] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.12180] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.12182] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.12184] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.12186] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.12188] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.12189] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.12192] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.12193] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.12196] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.12197] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.12200] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.12201] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.12204] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.12205] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.12207] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.12209] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.12211] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.12213] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.12215] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.12217] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.12219] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.12221] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.12223] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.12224] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.12227] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.12228] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.12231] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.12232] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.12235] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.12236] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.12239] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.12240] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.12243] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.12244] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.12247] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.12248] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.12251] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.12252] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.12256] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.12257] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.12260] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.12261] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.12263] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.12265] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.12267] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.12269] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.12271] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.12273] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.12275] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.12277] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.12279] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.12281] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.12283] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.12285] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.12287] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.12289] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.12291] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.12293] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.12295] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.12297] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.12299] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.12301] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.12303] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.12305] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.12307] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.12309] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.12311] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.12313] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.12315] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.12317] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.12319] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.12321] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.12323] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.12325] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.12327] Single Buffer requirement not met.
d3d      D         d3d_disp.cpp:1645 d3d_create_display_internals     [   0.12331] Trying format 0.
d3d      I         d3d_disp.cpp:1326 d3d_display_thread_proc          [   0.12434] Chose a display format: 23
d3d      I         d3d_disp.cpp:1395 d3d_display_thread_proc          [   0.12440] Normal window.
d3d      I         d3d_disp.cpp:801  d3d_create_device                [   0.14445] Using no depth stencil buffer
d3d      D         d3d_disp.cpp:866  d3d_create_device                [   0.29316] BeginScene succeeded in create_device
d3d      D         d3d_disp.cpp:874  d3d_create_device                [   0.29322] Success
d3d      D         d3d_disp.cpp:1668 d3d_create_display_internals     [   0.29326] Resumed after wait.
d3d      I         d3d_disp.cpp:1701 d3d_create_display_internals     [   0.29331] Format 0 succeeded.
d3d      D         d3d_disp.cpp:1724 d3d_create_display_internals     [   0.29334] Returning d3d_display: 00A8B8C0
d3d      D         d3d_disp.cpp:1749 d3d_create_display_locked        [   0.29336] al_display=00A8B8C0
d3d      D         d3d_disp.cpp:1750 d3d_create_display_locked        [   0.29337] al_display->vt=00A8B7F8
dtor     D               dtor.c:184  _al_register_destructor          [   0.29416] added dtor for object 01F42E98, func 0F1227CF
font     D                ttf.c:792  al_load_ttf_font_stretch_f       [   0.29664] Font source/Rasanskool.ttf loaded with pixel size 0 x 24.
font     D                ttf.c:794  al_load_ttf_font_stretch_f       [   0.29667]     ascent=20.0, descent=-5.0, height=28.0
dtor     D               dtor.c:184  _al_register_destructor          [   0.29671] added dtor for object 01F4B740, func 0F121B63
font     D                ttf.c:792  al_load_ttf_font_stretch_f       [   0.29731] Font source/Orbitron-Black.ttf loaded with pixel size 0 x 14.
font     D                ttf.c:794  al_load_ttf_font_stretch_f       [   0.29733]     ascent=11.0, descent=-3.0, height=14.0
dtor     D               dtor.c:184  _al_register_destructor          [   0.29737] added dtor for object 01F4E978, func 0F121B63
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.30313] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.30318] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.30320] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.30322] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.30324] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.30325] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.30327] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.30328] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.30330] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   0.30331] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   0.30333] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   0.30334] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   0.30336] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.30362] added dtor for object 01F4FDC8, func 0F1225BD
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.30733] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.30739] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.30827] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.30830] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.30831] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.30833] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.30834] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.30836] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.30837] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.30839] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.30840] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   0.30842] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   0.30844] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   0.30846] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   0.30847] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.30892] added dtor for object 01F52628, func 0F1225BD
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.31537] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.31544] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.31637] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.31640] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.31642] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.31643] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.31645] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.31646] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.31648] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.31649] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.31651] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   0.31652] Alpha doesn't match
